,AA,CC,Id,Ti,Y,authors,logprob,paper
0,"[{'AfId': 149899117, 'AuN': 'david lopezpaz', 'AfN': 'max planck society', 'AuId': 1313188078}, {'AfId': 149899117, 'AuN': 'philipp hennig', 'AfN': 'max planck society', 'AuId': 1897691719}, {'AfId': 149899117, 'AuN': 'bernhard scholkopf', 'AfN': 'max planck society', 'AuId': 297432538}]",79,2095841525,the randomized dependence coefficient,2013,"['David Lopez-Paz', 'Philipp Hennig', 'Bernhard Schölkopf']",-19.681,The Randomized Dependence Coefficient
1,"[{'AfId': 1290206253, 'AuN': 'alessandro perina', 'AfN': 'microsoft', 'AuId': 1972696923}, {'AfId': 1290206253, 'AuN': 'nebojsa jojic', 'AfN': 'microsoft', 'AuId': 2092023269}, {'AfId': 119439378, 'AuN': 'manuele bicego', 'AfN': 'university of verona', 'AuId': 2093895374}, {'AfId': 1290206253, 'AuN': 'andrzej truski', 'AfN': 'microsoft', 'AuId': 2614618518}]",6,2134808888,documents as multiple overlapping windows into grids of counts,2013,"['Alessandro Perina', 'Nebojsa Jojic', 'Manuele Bicego', 'Andrzej Truski']",-20.751,Documents as multiple overlapping windows into grids of counts
2,"[{'AfId': 144112489, 'AuN': 'wenhao zhang', 'AfN': 'mcgovern institute for brain research', 'AuId': 2742584636}, {'AfId': 144112489, 'AuN': 'si wu', 'AfN': 'mcgovern institute for brain research', 'AuId': 2559362001}]",1,2148231164,reciprocally coupled local estimators implement bayesian information integration distributively,2013,"['Wen-Hao Zhang', 'Si Wu']",-21.661,Reciprocally Coupled Local Estimators Implement Bayesian Information Integration Distributively
3,"[{'AfId': 18014758, 'AuN': 'guangtong zhou', 'AfN': 'simon fraser university', 'AuId': 2113927845}, {'AfId': 18014758, 'AuN': 'tian lan', 'AfN': 'simon fraser university', 'AuId': 2302230630}, {'AfId': 18014758, 'AuN': 'arash vahdat', 'AfN': 'simon fraser university', 'AuId': 2108335380}, {'AfId': 18014758, 'AuN': 'greg mori', 'AfN': 'simon fraser university', 'AuId': 2163499725}]",14,2149951699,latent maximum margin clustering,2013,"['Guang-Tong Zhou', 'Tian Lan', 'Arash Vahdat', 'Greg Mori']",-20.428,Latent Maximum Margin Clustering
4,"[{'AfId': 1341412227, 'AuN': 'martin mevissen', 'AfN': 'ibm', 'AuId': 2079929753}, {'AfId': 1341412227, 'AuN': 'emanuele ragnoli', 'AfN': 'ibm', 'AuId': 2285614841}, {'AfId': 1341412227, 'AuN': 'jia yuan yu', 'AfN': 'ibm', 'AuId': 2103969243}]",1,2170246608,data driven distributionally robust polynomial optimization,2013,"['Martin Mevissen', 'Emanuele Ragnoli', 'Jia Yuan Yu']",-21.367,Data-driven Distributionally Robust Polynomial Optimization
5,"[{'AfId': 149899117, 'AuN': 'marcus rohrbach', 'AfN': 'max planck society', 'AuId': 2170787067}, {'AfId': 149899117, 'AuN': 'sandra ebert', 'AfN': 'max planck society', 'AuId': 2142783336}, {'AfId': 149899117, 'AuN': 'bernt schiele', 'AfN': 'max planck society', 'AuId': 1620943014}]",92,2151575489,transfer learning in a transductive setting,2013,"['Marcus Rohrbach', 'Sandra Ebert', 'Bernt Schiele']",-19.114,Transfer Learning in a Transductive Setting
6,"[{'AfId': 106165777, 'AuN': 'ali borji', 'AfN': 'university of central florida', 'AuId': 2136378688}, {'AfId': 1174212, 'AuN': 'laurent itti', 'AfN': 'university of southern california', 'AuId': 17594925}]",14,2133261881,bayesian optimization explains human active search,2013,"['Ali Borji', 'Laurent Itti']",-20.191,Bayesian optimization explains human active search
7,"[{'AfId': 74973139, 'AuN': 'yuxiang wang', 'AfN': 'carnegie mellon university', 'AuId': 2231647228}, {'AfId': 165932596, 'AuN': 'huan xu', 'AfN': 'national university of singapore', 'AuId': 2139723518}, {'AfId': 39555362, 'AuN': 'chenlei leng', 'AfN': 'university of warwick', 'AuId': 2097487198}]",91,2144902590,provable subspace clustering when lrr meets ssc,2013,"['Yu-Xiang Wang', 'Huan Xu', 'Chenlei Leng']",-19.299,Provable Subspace Clustering: When LRR meets SSC
8,"[{'AfId': 136199984, 'AuN': 'hossein azari soufiani', 'AfN': 'harvard university', 'AuId': 1460465686}, {'AfId': 136199984, 'AuN': 'hansheng diao', 'AfN': 'harvard university', 'AuId': 2129568784}, {'AfId': 136199984, 'AuN': 'zhenyu lai', 'AfN': 'harvard university', 'AuId': 2107510470}, {'AfId': 136199984, 'AuN': 'david c parkes', 'AfN': 'harvard university', 'AuId': 2101135606}]",12,2128720307,generalized random utility models with multiple types,2013,"['Hossein Azari Soufiani', 'Hansheng Diao', 'Zhenyu Lai', 'David C. Parkes']",-20.312,Generalized Random Utility Models with Multiple Types
9,"[{'AfId': 154425047, 'AuN': 'xinhua zhang', 'AfN': 'university of alberta', 'AuId': 2124873033}, {'AfId': 154425047, 'AuN': 'yaoliang yu', 'AfN': 'university of alberta', 'AuId': 2119954973}, {'AfId': 154425047, 'AuN': 'dale schuurmans', 'AfN': 'university of alberta', 'AuId': 1817936516}]",11,2131437840,polar operators for structured sparse estimation,2013,"['Xinhua Zhang', 'Yao-Liang Yu', 'Dale Schuurmans']",-20.411,Polar Operators for Structured Sparse Estimation
