,AA,CC,Id,Ti,Y,authors,error,json,logprob,paper
0,"[{'AfId': 122411786, 'AuN': 'bryan d he', 'AfN': 'california institute of technology', 'AuId': 2222592563}, {'AfId': 97018004, 'AuN': 'christopher de sa', 'AfN': 'stanford university', 'AuId': 2096532069}, {'AfId': 86519309, 'AuN': 'ioannis mitliagkas', 'AfN': 'university of texas at austin', 'AuId': 802187145}, {'AfId': 97018004, 'AuN': 'christopher re', 'AfN': 'stanford university', 'AuId': 2156135343}]",1.0,2411546853.0,scan order in gibbs sampling models in which it matters and bounds on how much,2016.0,"['Bryan D. He', 'Christopher M. De Sa', 'Ioannis Mitliagkas', 'Christopher Ré']",,,-20.614,Scan Order in Gibbs Sampling: Models in Which it Matters and Bounds on How Much
1,"[{'AuN': 'yan yang', 'AuId': 2663326384}, {'AfId': 87445476, 'AuN': 'jian sun', 'AfN': 'xi an jiaotong university', 'AuId': 2693167009}, {'AfId': 87445476, 'AuN': 'huibin li', 'AfN': 'xi an jiaotong university', 'AuId': 2796708094}, {'AfId': 87445476, 'AuN': 'zongben xu', 'AfN': 'xi an jiaotong university', 'AuId': 2228032833}]",25.0,2552808051.0,deep admm net for compressive sensing mri,2016.0,"['yan yang', 'Jian Sun', 'Huibin Li', 'Zongben Xu']",,,-19.464,Deep ADMM-Net for Compressive Sensing MRI
2,"[{'AfId': 118347636, 'AuN': 'richard nock', 'AfN': 'australian national university', 'AuId': 1964890520}, {'AfId': 118347636, 'AuN': 'aditya krishna menon', 'AfN': 'australian national university', 'AuId': 2107302653}, {'AfId': 149899117, 'AuN': 'cheng soon ong', 'AfN': 'max planck society', 'AuId': 2609987651}]",0.0,2466796449.0,a scaled bregman theorem with applications,2016.0,"['Richard Nock', 'Aditya Menon', 'Cheng Soon Ong']",,,-21.768,A scaled Bregman theorem with applications
3,"[{'AfId': 157725225, 'AuN': 'saurabh singh', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2237926930}, {'AfId': 157725225, 'AuN': 'derek hoiem', 'AfN': 'university of illinois at urbana champaign', 'AuId': 1917258602}, {'AfId': 157725225, 'AuN': 'david a forsyth', 'AfN': 'university of illinois at urbana champaign', 'AuId': 2003447161}]",30.0,2397299141.0,swapout learning an ensemble of deep architectures,2016.0,"['Saurabh Singh', 'Derek Hoiem', 'David Forsyth']",,,-19.475,Swapout: Learning an ensemble of deep architectures
4,"[{'AfId': 118347636, 'AuN': 'richard nock', 'AfN': 'australian national university', 'AuId': 1964890520}]",1.0,2550817323.0,on regularizing rademacher observation losses,2016.0,['Richard Nock'],,,-21.172,On Regularizing Rademacher Observation Losses
5,"[{'AfId': 53964585, 'AuN': 'ohad shamir', 'AfN': 'weizmann institute of science', 'AuId': 2073631992}]",6.0,2557191228.0,without replacement sampling for stochastic gradient methods,2016.0,['Ohad Shamir'],,,-20.661,Without-Replacement Sampling for Stochastic Gradient Methods
6,"[{'AfId': 35440088, 'AuN': 'olivier bachem', 'AfN': 'eth zurich', 'AuId': 345454859}, {'AfId': 35440088, 'AuN': 'mario lucic', 'AfN': 'eth zurich', 'AuId': 2147033837}, {'AuN': 'hamed hassani', 'AuId': 2596507499}, {'AfId': 35440088, 'AuN': 'andreas krause', 'AfN': 'eth zurich', 'AuId': 2165121431}]",10.0,2552050672.0,fast and provably good seedings for k means,2016.0,"['Olivier Bachem', 'Mario Lucic', 'Hamed Hassani', 'Andreas Krause']",,,-20.087,Fast and Provably Good Seedings for k-Means
7,"[{'AfId': 95457486, 'AuN': 'chelsea finn', 'AfN': 'university of california berkeley', 'AuId': 2107089640}, {'AfId': 1291425158, 'AuN': 'ian j goodfellow', 'AfN': 'google', 'AuId': 1822555116}, {'AfId': 95457486, 'AuN': 'sergey levine', 'AfN': 'university of california berkeley', 'AuId': 2140030024}]",138.0,2400532028.0,unsupervised learning for physical interaction through video prediction,2016.0,"['Chelsea Finn', 'Ian Goodfellow', 'Sergey Levine']",,,-18.134,Unsupervised Learning for Physical Interaction through Video Prediction
8,"[{'AfId': 145311948, 'AuN': 'ehsan elhamifar', 'AfN': 'johns hopkins university', 'AuId': 2069260391}]",6.0,2549661379.0,high rank matrix completion and clustering under self expressive models,2016.0,['Ehsan Elhamifar'],,,-20.666,High-Rank Matrix Completion and Clustering under Self-Expressive Models
9,"[{'AfId': 63966007, 'AuN': 'jiajun wu', 'AfN': 'massachusetts institute of technology', 'AuId': 2567545693}, {'AfId': 63966007, 'AuN': 'chengkai zhang', 'AfN': 'massachusetts institute of technology', 'AuId': 2223328708}, {'AfId': 63966007, 'AuN': 'tianfan xue', 'AfN': 'massachusetts institute of technology', 'AuId': 2309502574}, {'AfId': 74973139, 'AuN': 'bill freeman', 'AfN': 'carnegie mellon university', 'AuId': 2108608352}, {'AfId': 63966007, 'AuN': 'josh tenenbaum', 'AfN': 'massachusetts institute of technology', 'AuId': 2491818998}]",143.0,2546066744.0,learning a probabilistic latent space of object shapes via 3d generative adversarial modeling,2016.0,"['Jiajun Wu', 'Chengkai Zhang', 'Tianfan Xue', 'Bill Freeman', 'Josh Tenenbaum']",,,-18.286,Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling
